Swim Date,Swim Time,Set #,Set,Interval (m),Length (m),Strk,Move Time,Rest Time,Cumul Time,Len,Dist (m),Cumul Dist (m),Avg DPS,Pace/100,Pace/50,SWOLF,Avg Strk Rate (strk/min),Strk Count,Avg Strk Count/Len,Calories
02/14/2023,07:06:08AM,6,16x100,100,25,FR,00:19.6,00:00.0,25:26.2,1,25,1225,1.24,01:18.3,00:39.1,38,60,18,18,5
02/14/2023,07:16:23AM,6,16x100,100,25,FR,00:19.9,00:00.0,35:41.9,1,25,1725,1.16,01:19.6,00:39.8,40,60,20,20,5
02/14/2023,07:26:36AM,6,16x100,100,25,FR,00:20.7,00:00.0,45:55.3,1,25,2225,1.07,01:22.8,00:41.4,40,61,19,19,5
02/14/2023,07:24:28AM,6,16x100,100,25,FR,00:21.1,00:00.0,43:47.9,1,25,2125,1.16,01:24.3,00:42.1,40,58,19,19,5
02/14/2023,07:14:20AM,6,16x100,100,25,FR,00:21.3,00:00.0,33:40.3,1,25,1625,1.2,01:25.0,00:42.5,40,56,19,19,5
02/14/2023,07:04:07AM,6,16x100,100,25,FR,00:21.3,00:00.0,23:26.8,1,25,1125,1.21,01:25.2,00:42.6,39,55,18,18,5
02/14/2023,07:02:06AM,6,16x100,100,25,FR,00:21.9,00:00.0,21:26.3,1,25,1025,1.26,01:27.8,00:43.9,39,51,17,17,5
02/14/2023,07:12:17AM,6,16x100,100,25,FR,00:22.1,00:00.0,31:37.5,1,25,1525,1.23,01:28.4,00:44.2,41,51,19,19,5
02/14/2023,06:44:39AM,1,1x200,200,0,REST,00:00.0,00:25.0,04:02.9,1,0,200,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,06:45:04AM,2,1x100,100,25,REST,00:00.0,00:20.2,04:23.1,1,25,225,0,01:20.7,00:40.4,20,0,0,0,5
02/14/2023,06:45:24AM,2,1x100,100,25,REST,00:00.0,00:26.2,04:49.3,1,25,250,0,01:44.9,00:52.5,26,0,0,0,6
02/14/2023,06:45:51AM,2,1x100,100,25,REST,00:00.0,00:28.4,05:17.7,1,25,275,0,01:53.5,00:56.8,28,0,0,0,6
02/14/2023,06:46:19AM,2,1x100,100,25,REST,00:00.0,00:24.4,05:42.1,1,25,300,0,01:37.8,00:48.9,24,0,0,0,5
02/14/2023,06:46:43AM,2,1x100,100,0,REST,00:00.0,00:31.9,06:14.0,1,0,300,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:06:52AM,6,16x100,100,25,FR,00:22.1,00:00.0,26:12.5,1,25,1275,1.26,01:28.6,00:44.3,41,58,19,19,5
02/14/2023,06:41:01AM,1,1x200,200,25,FR,00:22.2,00:00.0,00:22.2,1,25,25,1.35,01:28.7,00:44.4,38,47,16,16,5
02/14/2023,07:28:48AM,6,16x100,100,25,FR,00:22.2,00:00.0,48:02.4,1,25,2325,1.39,01:28.7,00:44.4,38,48,16,16,5
02/14/2023,07:22:27AM,6,16x100,100,25,FR,00:22.3,00:00.0,41:48.4,1,25,2025,1.16,01:29.3,00:44.6,41,54,19,19,5
02/14/2023,07:10:16AM,6,16x100,100,25,FR,00:22.6,00:00.0,29:37.0,1,25,1425,1.28,01:30.6,00:45.3,40,48,17,17,5
02/14/2023,06:47:15AM,3,1x200,200,25,FR,00:22.9,00:00.0,06:36.9,1,25,325,1.27,01:31.4,00:45.7,40,52,17,17,5
02/14/2023,07:16:43AM,6,16x100,100,25,FR,00:23.2,00:00.0,36:05.1,1,25,1750,1.16,01:32.9,00:46.5,42,57,19,19,5
02/14/2023,07:27:44AM,6,16x100,100,25,FR,00:23.4,00:00.0,47:05.9,1,25,2300,1.05,01:33.6,00:46.8,44,61,21,21,5
02/14/2023,06:50:44AM,3,1x200,200,0,REST,00:00.0,00:40.1,10:22.9,1,0,500,0,00:00.0,00:00.0,0,0,0,0,1
02/14/2023,06:51:24AM,4,1x100,100,25,REST,00:00.0,00:23.0,10:46.0,1,25,525,0,01:32.2,00:46.1,23,0,0,0,5
02/14/2023,06:51:47AM,4,1x100,100,25,REST,00:00.0,00:26.6,11:12.5,1,25,550,0,01:46.3,00:53.1,27,0,0,0,6
02/14/2023,06:52:14AM,4,1x100,100,25,REST,00:00.0,00:29.1,11:41.6,1,25,575,0,01:56.3,00:58.1,29,0,0,0,6
02/14/2023,06:52:43AM,4,1x100,100,25,REST,00:00.0,00:27.7,12:09.3,1,25,600,0,01:50.6,00:55.3,28,0,0,0,6
02/14/2023,06:53:11AM,4,1x100,100,0,REST,00:00.0,00:43.4,12:52.6,1,0,600,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:00:04AM,6,16x100,100,25,FR,00:23.5,00:00.0,19:26.5,1,25,925,1.25,01:33.9,00:47.0,42,48,19,19,5
02/14/2023,07:04:53AM,6,16x100,100,25,FR,00:23.5,00:00.0,24:15.5,1,25,1175,1.17,01:34.0,00:47.0,42,54,19,19,5
02/14/2023,07:27:20AM,6,16x100,100,25,FR,00:23.5,00:00.0,46:42.5,1,25,2275,1.05,01:34.0,00:47.0,45,61,21,21,5
02/14/2023,07:26:57AM,6,16x100,100,25,FR,00:23.7,00:00.0,46:19.0,1,25,2250,1.03,01:35.0,00:47.5,45,59,21,21,5
02/14/2023,07:06:28AM,6,16x100,100,25,FR,00:24.1,00:00.0,25:50.3,1,25,1250,1.14,01:36.4,00:48.2,45,59,21,21,5
02/14/2023,07:05:17AM,6,16x100,100,25,FR,00:24.2,00:00.0,24:39.7,1,25,1200,1.17,01:36.6,00:48.3,43,54,19,19,5
02/14/2023,06:58:06AM,6,16x100,100,25,FR,00:24.3,00:00.0,17:28.7,1,25,825,1.26,01:37.1,00:48.5,41,46,17,17,5
02/14/2023,07:20:26AM,6,16x100,100,25,FR,00:24.4,00:00.0,39:49.2,1,25,1925,1.23,01:37.4,00:48.7,42,47,18,18,5
02/14/2023,06:57:17AM,5,1x200,200,0,REST,00:00.0,00:48.7,17:04.4,1,0,800,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:25:15AM,6,16x100,100,25,FR,00:24.4,00:00.0,44:37.6,1,25,2175,1.14,01:37.5,00:48.7,44,56,20,20,5
02/14/2023,06:54:20AM,5,1x200,200,25,FR,00:24.4,00:00.0,13:42.8,1,25,650,1.37,01:37.8,00:48.9,40,45,16,16,5
02/14/2023,07:08:19AM,6,16x100,100,25,FR,00:24.6,00:00.0,27:42.3,1,25,1325,1.19,01:38.6,00:49.3,44,48,19,19,6
02/14/2023,07:02:54AM,6,16x100,100,25,FR,00:24.7,00:00.0,22:17.3,1,25,1075,1.34,01:38.7,00:49.4,42,48,17,17,6
02/14/2023,06:59:53AM,6,16x100,100,0,REST,00:00.0,00:11.5,19:03.1,1,0,900,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:29:10AM,6,16x100,100,25,FR,00:24.7,00:00.0,48:27.1,1,25,2350,1.32,01:39.0,00:49.5,42,46,17,17,6
02/14/2023,07:25:39AM,6,16x100,100,25,FR,00:24.8,00:00.0,45:02.4,1,25,2200,1.1,01:39.0,00:49.5,46,55,21,21,6
02/14/2023,07:17:06AM,6,16x100,100,25,FR,00:24.9,00:00.0,36:30.0,1,25,1775,1.03,01:39.6,00:49.8,48,60,23,23,6
02/14/2023,07:23:42AM,6,16x100,100,25,FR,00:24.9,00:00.0,43:05.1,1,25,2100,1.21,01:39.8,00:49.9,44,53,19,19,6
02/14/2023,07:01:50AM,6,16x100,100,0,REST,00:00.0,00:15.8,21:04.3,1,0,1000,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,06:54:44AM,5,1x200,200,25,FR,00:25.0,00:00.0,14:07.8,1,25,675,1.39,01:39.9,00:49.9,41,45,16,16,6
02/14/2023,06:55:09AM,5,1x200,200,25,FR,00:25.0,00:00.0,14:32.8,1,25,700,1.29,01:40.0,00:50.0,43,47,18,18,6
02/14/2023,07:09:11AM,6,16x100,100,25,FR,00:25.1,00:00.0,28:34.7,1,25,1375,1.31,01:40.3,00:50.1,42,47,17,17,6
02/14/2023,07:29:35AM,6,16x100,100,25,FR,00:25.1,00:00.0,48:52.2,1,25,2375,1.35,01:40.4,00:50.2,42,45,17,17,6
02/14/2023,07:03:46AM,6,16x100,100,0,REST,00:00.0,00:20.6,23:05.6,1,0,1100,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:04:28AM,6,16x100,100,25,FR,00:25.2,00:00.0,23:52.0,1,25,1150,1.12,01:40.7,00:50.4,45,55,20,20,6
02/14/2023,07:30:00AM,6,16x100,100,25,FR,00:25.2,00:00.0,49:17.4,1,25,2400,1.31,01:40.7,00:50.4,42,46,17,17,6
02/14/2023,07:18:28AM,6,16x100,100,25,FR,00:25.3,00:00.0,37:51.5,1,25,1825,1.18,01:41.0,00:50.5,44,46,19,19,6
02/14/2023,07:23:16AM,6,16x100,100,25,FR,00:25.3,00:00.0,42:40.2,1,25,2075,1.13,01:41.3,00:50.7,45,53,20,20,6
02/14/2023,07:05:41AM,6,16x100,100,0,REST,00:00.0,00:27.0,25:06.7,1,0,1200,0,00:00.0,00:00.0,0,0,0,0,1
02/14/2023,07:24:49AM,6,16x100,100,25,FR,00:25.4,00:00.0,44:13.3,1,25,2150,1.12,01:41.5,00:50.8,45,55,20,20,6
02/14/2023,06:56:00AM,5,1x200,200,25,FR,00:25.5,00:00.0,15:24.0,1,25,750,1.32,01:41.8,00:50.9,42,45,17,17,6
02/14/2023,06:56:25AM,5,1x200,200,25,FR,00:25.5,00:00.0,15:49.4,1,25,775,1.32,01:41.8,00:50.9,42,45,17,17,6
02/14/2023,06:53:54AM,5,1x200,200,25,FR,00:25.7,00:00.0,13:18.4,1,25,625,1.55,01:42.9,00:51.4,41,44,15,15,6
02/14/2023,07:07:42AM,6,16x100,100,0,REST,00:00.0,00:37.0,27:17.6,1,0,1300,0,00:00.0,00:00.0,0,0,0,0,1
02/14/2023,06:41:53AM,1,1x200,200,25,FR,00:25.7,00:00.0,01:17.7,1,25,75,1.29,01:43.0,00:51.5,43,46,17,17,6
02/14/2023,06:55:34AM,5,1x200,200,25,FR,00:25.7,00:00.0,14:58.5,1,25,725,1.32,01:43.0,00:51.5,43,45,17,17,6
02/14/2023,06:48:05AM,3,1x200,200,25,FR,00:25.9,00:00.0,07:29.6,1,25,375,1.24,01:43.5,00:51.8,44,48,18,18,6
02/14/2023,07:13:33AM,6,16x100,100,25,FR,00:26.0,00:00.0,32:57.5,1,25,1600,1.25,01:44.0,00:52.0,44,47,18,18,6
02/14/2023,07:10:05AM,6,16x100,100,0,REST,00:00.0,00:10.9,29:14.4,1,0,1400,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,06:49:25AM,3,1x200,200,25,FR,00:26.2,00:00.0,08:50.0,1,25,450,1.1,01:44.8,00:52.4,46,51,20,20,6
02/14/2023,06:49:51AM,3,1x200,200,25,FR,00:26.2,00:00.0,09:16.2,1,25,475,1.12,01:44.9,00:52.5,45,52,19,19,6
02/14/2023,07:20:51AM,6,16x100,100,25,FR,00:26.3,00:00.0,40:15.5,1,25,1950,1.07,01:45.0,00:52.5,45,49,19,19,6
02/14/2023,06:56:51AM,5,1x200,200,25,FR,00:26.3,00:00.0,16:15.7,1,25,800,1.35,01:45.0,00:52.5,43,44,17,17,6
02/14/2023,07:12:00AM,6,16x100,100,0,REST,00:00.0,00:16.9,31:15.4,1,0,1500,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:14:42AM,6,16x100,100,25,FR,00:26.3,00:00.0,34:06.5,1,25,1650,1.19,01:45.0,00:52.5,46,54,20,20,6
02/14/2023,07:02:28AM,6,16x100,100,25,FR,00:26.4,00:00.0,21:52.7,1,25,1050,1.18,01:45.6,00:52.8,45,49,19,19,6
02/14/2023,07:15:08AM,6,16x100,100,25,FR,00:26.4,00:00.0,34:33.0,1,25,1675,1.09,01:45.7,00:52.8,47,53,21,21,6
02/14/2023,07:00:56AM,6,16x100,100,25,FR,00:26.5,00:00.0,20:21.6,1,25,975,1.29,01:45.9,00:53.0,44,45,18,18,6
02/14/2023,07:13:59AM,6,16x100,100,0,REST,00:00.0,00:21.5,33:19.0,1,0,1600,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:22:50AM,6,16x100,100,25,FR,00:26.5,00:00.0,42:14.9,1,25,2050,1.06,01:45.9,00:53.0,47,54,21,21,6
02/14/2023,06:58:30AM,6,16x100,100,25,FR,00:26.5,00:00.0,17:55.2,1,25,850,1,01:45.9,00:53.0,44,46,18,18,6
02/14/2023,07:18:53AM,6,16x100,100,25,FR,00:26.6,00:00.0,38:18.2,1,25,1850,1.19,01:46.4,00:53.2,46,49,19,19,6
02/14/2023,06:50:18AM,3,1x200,200,25,FR,00:26.6,00:00.0,09:42.8,1,25,500,1.12,01:46.5,00:53.2,47,52,20,20,6
02/14/2023,07:16:01AM,6,16x100,100,0,REST,00:00.0,00:22.2,35:22.0,1,0,1700,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:13:06AM,6,16x100,100,25,FR,00:26.7,00:00.0,32:31.5,1,25,1575,1.16,01:46.7,00:53.4,46,47,19,19,6
02/14/2023,07:21:17AM,6,16x100,100,25,FR,00:26.7,00:00.0,40:42.1,1,25,1975,1.11,01:46.7,00:53.4,46,48,19,19,6
02/14/2023,06:48:58AM,3,1x200,200,25,FR,00:26.7,00:00.0,08:23.7,1,25,425,1.2,01:46.8,00:53.4,45,47,18,18,6
02/14/2023,07:17:31AM,6,16x100,100,25,FR,00:26.7,00:00.0,36:56.7,1,25,1800,0.93,01:46.8,00:53.4,51,61,24,24,6
02/14/2023,07:17:58AM,6,16x100,100,0,REST,00:00.0,00:29.6,37:26.3,1,0,1800,0,00:00.0,00:00.0,0,0,0,0,1
02/14/2023,07:15:34AM,6,16x100,100,25,FR,00:26.8,00:00.0,34:59.8,1,25,1700,1.06,01:47.3,00:53.6,48,51,21,21,6
02/14/2023,06:47:38AM,3,1x200,200,25,FR,00:26.9,00:00.0,07:03.8,1,25,350,1.14,01:47.5,00:53.8,47,49,20,20,6
02/14/2023,07:19:20AM,6,16x100,100,25,FR,00:26.9,00:00.0,38:45.1,1,25,1875,1.21,01:47.5,00:53.8,46,47,19,19,6
02/14/2023,07:01:23AM,6,16x100,100,25,FR,00:26.9,00:00.0,20:48.5,1,25,1000,1.24,01:47.6,00:53.8,45,47,18,18,6
02/14/2023,07:20:14AM,6,16x100,100,0,REST,00:00.0,00:12.0,39:24.9,1,0,1900,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:11:06AM,6,16x100,100,25,FR,00:27.0,00:00.0,30:31.4,1,25,1475,1.17,01:48.0,00:54.0,46,48,19,19,6
02/14/2023,07:11:33AM,6,16x100,100,25,FR,00:27.2,00:00.0,30:58.6,1,25,1500,1.15,01:48.7,00:54.4,46,47,19,19,6
02/14/2023,07:12:39AM,6,16x100,100,25,FR,00:27.3,00:00.0,32:04.9,1,25,1550,1.24,01:49.3,00:54.6,45,46,18,18,6
02/14/2023,07:08:44AM,6,16x100,100,25,FR,00:27.4,00:00.0,28:09.6,1,25,1350,1.17,01:49.4,00:54.7,46,47,19,19,6
02/14/2023,07:22:11AM,6,16x100,100,0,REST,00:00.0,00:16.4,41:26.1,1,0,2000,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,06:42:47AM,1,1x200,200,25,FR,00:27.4,00:00.0,02:13.4,1,25,125,1.23,01:49.5,00:54.8,45,47,18,18,6
02/14/2023,06:48:31AM,3,1x200,200,25,FR,00:27.4,00:00.0,07:57.0,1,25,400,1.24,01:49.7,00:54.8,45,48,18,18,6
02/14/2023,07:10:38AM,6,16x100,100,25,FR,00:27.4,00:00.0,30:04.4,1,25,1450,1.23,01:49.8,00:54.9,45,47,18,18,6
02/14/2023,07:21:44AM,6,16x100,100,25,FR,00:27.5,00:00.0,41:09.7,1,25,2000,1.17,01:50.0,00:55.0,47,47,19,19,6
02/14/2023,07:24:06AM,6,16x100,100,0,REST,00:00.0,00:21.7,43:26.8,1,0,2100,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:03:19AM,6,16x100,100,25,FR,00:27.6,00:00.0,22:44.9,1,25,1100,1.16,01:50.3,00:55.1,47,49,19,19,6
02/14/2023,07:19:46AM,6,16x100,100,25,FR,00:27.8,00:00.0,39:12.8,1,25,1900,1.24,01:51.1,00:55.6,46,45,18,18,6
02/14/2023,06:43:43AM,1,1x200,200,25,FR,00:27.8,00:00.0,03:09.6,1,25,175,1.17,01:51.2,00:55.6,47,46,19,19,6
02/14/2023,06:58:57AM,6,16x100,100,25,FR,00:27.8,00:00.0,18:23.0,1,25,875,1.26,01:51.2,00:55.6,46,46,18,18,6
02/14/2023,07:26:04AM,6,16x100,100,0,REST,00:00.0,00:32.2,45:34.6,1,0,2200,0,00:00.0,00:00.0,0,0,0,0,1
02/14/2023,07:07:14AM,6,16x100,100,25,FR,00:28.1,00:00.0,26:40.6,1,25,1300,0.94,01:52.5,00:56.2,53,58,25,25,6
02/14/2023,06:44:11AM,1,1x200,200,25,FR,00:28.3,00:00.0,03:37.9,1,25,200,1.17,01:53.2,00:56.6,47,45,19,19,6
02/14/2023,06:42:19AM,1,1x200,200,25,FR,00:28.3,00:00.0,01:46.0,1,25,100,1.14,01:53.2,00:56.6,47,47,19,19,6
02/14/2023,06:43:15AM,1,1x200,200,25,FR,00:28.4,00:00.0,02:41.8,1,25,150,1.16,01:53.5,00:56.8,47,46,19,19,6
02/14/2023,07:28:07AM,6,16x100,100,0,REST,00:00.0,00:28.5,47:34.4,1,0,2300,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,07:28:42AM,6,16x100,100,0,REST,00:00.0,00:05.8,47:40.2,1,0,2300,0,00:00.0,00:00.0,0,0,0,0,0
02/14/2023,06:59:24AM,6,16x100,100,25,FR,00:28.5,00:00.0,18:51.5,1,25,900,1.15,01:54.0,00:57.0,48,46,19,19,6
02/14/2023,07:00:28AM,6,16x100,100,25,FR,00:28.6,00:00.0,19:55.1,1,25,950,1.24,01:54.4,00:57.2,47,45,18,18,6
02/14/2023,07:09:36AM,6,16x100,100,25,FR,00:28.7,00:00.0,29:03.4,1,25,1400,1.15,01:54.9,00:57.5,48,46,19,19,6
02/14/2023,06:41:24AM,1,1x200,200,25,FR,00:29.7,00:00.0,00:51.9,1,25,50,1.18,01:59.1,00:59.5,49,43,19,19,6
